student_id,login_frequency_per_week,attendance_percentage,assignment_delay_days,study_hours_per_day,sentiment_score,sleep_hours_per_day,stress_level,activity_trend,social_interaction_score,extracurricular_participation,activity_irregularity_score,engagement_score,burnout_velocity,burnout_risk_score,burnout_risk_level,dropout_probability,behavioural_triggers,recommended_intervention
1018,0,74,2,4.5,0.31,8.3,1,Improving,5,3,0.58,4.12,0.232,40.03,Medium,0.37,Low LMS activity,Monitor and provide academic support
1019,0,74,8,0.5,0.09,4.7,6,Stable,8,3,0.71,3.92,0.406,57.23,Medium,0.52,"Low LMS activity, Frequent assignment delays",Monitor and provide academic support
1020,4,87,3,2.5,0.43,7.9,1,Stable,2,4,0.49,4.71,0.138,28.17,Low,0.36,Normal behaviour,No immediate action required
1021,2,73,4,3.3,-0.13,10.6,5,Stable,2,3,0.02,3.85,0.007,36.51,Low,0.39,Low LMS activity,No immediate action required
1022,0,83,11,3.1,0.3,6.0,9,Declining,0,4,0.57,3.11,0.333,58.49,Medium,0.68,"Low LMS activity, Frequent assignment delays, High stress",Monitor and provide academic support
1023,3,60,6,2.0,-1.16,6.1,6,Stable,7,1,0.62,4.5,0.341,54.97,Medium,0.65,Negative sentiment,Monitor and provide academic support
1024,1,66,9,5.3,0.44,8.1,6,Stable,9,1,0.81,5.14,0.424,52.32,Medium,0.6,"Low LMS activity, Frequent assignment delays",Monitor and provide academic support
1025,4,99,9,0.5,-0.59,7.2,8,Declining,2,3,0.58,4.67,0.264,45.51,Medium,0.44,"Frequent assignment delays, Negative sentiment, High stress",Monitor and provide academic support
1026,6,61,2,3.1,-0.89,7.0,6,Stable,9,2,0.13,6.05,0.046,35.64,Low,0.36,Negative sentiment,No immediate action required
1027,4,99,11,5.8,0.61,6.3,4,Stable,2,3,0.13,5.73,0.043,32.85,Low,0.42,Frequent assignment delays,No immediate action required
1028,1,69,2,4.9,-0.22,4.0,7,Stable,9,4,0.08,5.15,0.037,45.81,Medium,0.44,Low LMS activity,Monitor and provide academic support
1029,3,92,0,1.5,-0.24,5.5,6,Declining,7,4,0.28,5.36,0.096,34.31,Low,0.43,Normal behaviour,No immediate action required
1030,6,44,5,4.5,0.04,5.6,3,Declining,8,4,0.12,5.62,0.043,36.12,Low,0.27,Low attendance,No immediate action required
1031,0,69,13,5.9,0.35,7.4,4,Improving,4,1,0.62,4.05,0.348,56.2,Medium,0.59,"Low LMS activity, Frequent assignment delays",Monitor and provide academic support
1032,1,91,14,0.6,0.0,7.6,8,Stable,3,1,0.03,3.75,0.015,50.61,Medium,0.52,"Low LMS activity, Frequent assignment delays, High stress",Monitor and provide academic support
1033,2,59,7,4.2,-0.52,6.8,3,Declining,2,0,0.96,3.61,0.535,55.7,Medium,0.64,"Low attendance, Low LMS activity, Negative sentiment",Monitor and provide academic support
1034,3,68,12,1.7,-0.21,6.3,2,Stable,0,1,0.32,3.28,0.156,48.64,Medium,0.56,Frequent assignment delays,Monitor and provide academic support
1035,1,73,2,2.1,0.18,5.5,8,Declining,4,4,0.28,3.71,0.129,45.95,Medium,0.39,"Low LMS activity, High stress",Monitor and provide academic support
1036,0,63,2,5.9,-0.89,4.7,7,Stable,6,4,0.24,4.27,0.13,54.28,Medium,0.58,"Low LMS activity, Negative sentiment",Monitor and provide academic support
1037,6,64,2,1.1,0.01,7.9,9,Stable,2,0,0.05,4.34,0.017,33.55,Low,0.43,High stress,No immediate action required
1038,2,51,8,2.3,0.96,8.1,5,Improving,8,3,0.67,4.19,0.322,48.12,Medium,0.53,"Low attendance, Low LMS activity, Frequent assignment delays",Monitor and provide academic support
1039,6,55,8,1.1,0.16,9.0,2,Declining,8,1,0.84,5.27,0.332,39.47,Low,0.47,"Low attendance, Frequent assignment delays",No immediate action required
1040,5,46,13,4.4,-0.24,6.8,5,Stable,7,4,0.37,5.16,0.189,51.03,Medium,0.57,"Low attendance, Frequent assignment delays",Monitor and provide academic support
1041,6,46,8,3.8,0.66,5.1,3,Declining,5,2,0.25,4.94,0.095,38.1,Low,0.35,"Low attendance, Frequent assignment delays",No immediate action required
1042,5,42,12,0.6,-0.34,6.4,8,Improving,8,0,0.68,4.48,0.398,58.51,Medium,0.53,"Low attendance, Frequent assignment delays, Negative sentiment, High stress",Monitor and provide academic support
1043,0,99,0,1.0,-1.28,8.2,5,Improving,4,2,0.92,3.97,0.447,48.63,Medium,0.44,"Low LMS activity, Negative sentiment",Monitor and provide academic support
1044,2,59,8,3.4,0.73,7.9,1,Stable,5,2,0.9,4.05,0.417,46.31,Medium,0.37,"Low attendance, Low LMS activity, Frequent assignment delays",Monitor and provide academic support
1045,3,49,7,2.7,-0.15,5.4,4,Stable,9,3,0.58,4.71,0.297,51.21,Medium,0.43,Low attendance,Monitor and provide academic support
1046,0,75,10,4.3,-0.96,7.0,4,Stable,2,4,0.94,3.51,0.589,62.69,Medium,0.61,"Low LMS activity, Frequent assignment delays, Negative sentiment",Monitor and provide academic support
1047,4,86,8,2.8,0.59,5.8,1,Stable,9,0,0.97,6.14,0.369,38.04,Low,0.45,Frequent assignment delays,No immediate action required
1048,4,72,1,0.7,0.11,5.8,5,Declining,5,2,0.56,4.5,0.212,37.78,Low,0.43,Normal behaviour,No immediate action required
1049,4,49,9,2.6,-0.37,5.5,1,Declining,3,0,0.67,3.79,0.341,50.89,Medium,0.53,"Low attendance, Frequent assignment delays, Negative sentiment",Monitor and provide academic support
1050,3,70,7,0.6,-1.74,6.1,3,Stable,0,3,0.56,3.12,0.306,54.65,Medium,0.62,Negative sentiment,Monitor and provide academic support
1051,0,56,14,0.7,0.32,8.6,2,Declining,6,3,0.98,3.02,0.602,61.38,Medium,0.64,"Low attendance, Low LMS activity, Frequent assignment delays",Monitor and provide academic support
1052,1,69,14,2.9,-0.13,7.6,6,Stable,6,1,0.86,4.15,0.529,61.56,Medium,0.71,"Low LMS activity, Frequent assignment delays",Monitor and provide academic support
1053,3,49,7,5.1,0.06,5.8,2,Stable,2,0,0.46,3.79,0.218,47.48,Medium,0.49,Low attendance,Monitor and provide academic support
1054,2,93,7,1.5,-0.38,9.0,3,Stable,1,4,0.19,3.89,0.072,38.02,Low,0.29,"Low LMS activity, Negative sentiment",No immediate action required
1055,4,57,11,2.4,0.03,5.8,5,Stable,9,1,0.13,5.19,0.06,46.19,Medium,0.43,"Low attendance, Frequent assignment delays",Monitor and provide academic support
1056,2,48,9,4.9,-0.35,6.8,1,Stable,0,0,0.6,3.02,0.324,54.04,Medium,0.64,"Low attendance, Low LMS activity, Frequent assignment delays, Negative sentiment",Monitor and provide academic support
1057,6,95,5,1.8,0.1,8.9,2,Declining,7,2,0.71,6.41,0.188,26.43,Low,0.34,Normal behaviour,No immediate action required
1058,5,82,14,0.7,-0.18,7.9,3,Stable,8,4,0.18,5.7,0.07,38.99,Low,0.4,Frequent assignment delays,No immediate action required
1059,0,78,5,2.3,0.84,7.8,3,Stable,1,3,0.54,3.0,0.231,42.8,Medium,0.45,Low LMS activity,Monitor and provide academic support
1060,7,79,0,3.6,-0.76,4.8,4,Stable,1,2,0.36,5.39,0.109,30.41,Low,0.4,Negative sentiment,No immediate action required
1061,4,96,0,0.5,-0.31,4.6,4,Declining,7,0,0.08,5.58,0.023,28.4,Low,0.29,Negative sentiment,No immediate action required
1062,7,76,3,6.0,0.09,7.9,4,Improving,5,0,0.49,6.58,0.131,26.77,Low,0.31,Normal behaviour,No immediate action required
1063,5,96,1,3.6,-0.83,7.3,5,Improving,5,3,0.43,6.1,0.134,31.14,Low,0.31,Negative sentiment,No immediate action required
1064,0,51,14,4.4,-0.11,6.7,4,Stable,2,0,0.37,2.81,0.231,62.54,Medium,0.62,"Low attendance, Low LMS activity, Frequent assignment delays",Monitor and provide academic support
1065,4,62,9,5.9,0.5,5.6,1,Improving,8,0,0.12,5.84,0.044,36.29,Low,0.36,Frequent assignment delays,No immediate action required
1066,5,94,2,2.4,0.08,6.6,3,Improving,7,3,0.84,6.2,0.258,30.69,Low,0.23,Normal behaviour,No immediate action required
1067,0,76,13,4.9,-0.22,7.2,3,Stable,9,3,0.32,5.06,0.169,52.84,Medium,0.55,"Low LMS activity, Frequent assignment delays",Monitor and provide academic support
1068,1,79,7,2.9,-0.34,3.2,6,Stable,0,0,0.36,3.25,0.194,53.91,Medium,0.52,"Low LMS activity, Negative sentiment",Monitor and provide academic support
1069,1,53,4,5.5,-0.44,6.9,6,Stable,2,1,0.14,3.39,0.071,50.57,Medium,0.56,"Low attendance, Low LMS activity, Negative sentiment",Monitor and provide academic support
1070,4,72,3,4.6,0.41,8.0,7,Improving,3,1,0.76,4.88,0.302,39.7,Low,0.47,Normal behaviour,No immediate action required
1071,0,93,5,3.5,-0.39,3.2,4,Stable,7,4,0.49,4.89,0.241,49.16,Medium,0.47,"Low LMS activity, Negative sentiment",Monitor and provide academic support
1072,4,41,10,4.0,0.21,9.3,5,Declining,9,1,0.95,5.03,0.497,52.35,Medium,0.45,"Low attendance, Frequent assignment delays",Monitor and provide academic support
1073,4,79,13,1.1,0.43,5.1,4,Declining,4,4,0.71,4.59,0.34,47.89,Medium,0.41,Frequent assignment delays,Monitor and provide academic support
1074,3,70,9,0.9,-0.16,5.8,4,Improving,8,0,0.87,4.78,0.448,51.49,Medium,0.52,Frequent assignment delays,Monitor and provide academic support
1075,7,54,4,2.6,-0.4,7.5,9,Improving,8,2,0.4,5.84,0.159,39.86,Low,0.41,"Low attendance, Negative sentiment, High stress",No immediate action required
1076,2,77,1,3.1,0.42,6.4,3,Stable,8,3,0.42,5.13,0.146,34.88,Low,0.43,Low LMS activity,No immediate action required
1077,0,68,14,2.0,-0.34,5.5,1,Improving,3,0,0.15,3.04,0.084,56.06,Medium,0.54,"Low LMS activity, Frequent assignment delays, Negative sentiment",Monitor and provide academic support
1078,3,79,0,2.1,-0.44,4.1,3,Stable,2,4,0.62,4.09,0.254,40.98,Medium,0.39,Negative sentiment,Monitor and provide academic support
1079,7,79,2,0.9,-0.13,8.8,2,Stable,0,1,0.5,4.65,0.127,25.4,Low,0.31,Normal behaviour,No immediate action required
1080,3,40,7,5.2,-0.07,7.3,3,Stable,0,3,0.84,3.14,0.453,53.88,Medium,0.61,Low attendance,Monitor and provide academic support
1081,7,40,8,1.7,0.36,4.8,8,Improving,4,2,0.89,4.44,0.453,50.86,Medium,0.52,"Low attendance, Frequent assignment delays, High stress",Monitor and provide academic support
1082,7,73,2,1.8,0.36,7.2,4,Declining,5,4,0.41,5.65,0.106,25.85,Low,0.22,Normal behaviour,No immediate action required
1083,1,46,9,1.0,0.16,4.6,2,Declining,4,3,0.34,2.68,0.187,54.98,Medium,0.61,"Low attendance, Low LMS activity, Frequent assignment delays",Monitor and provide academic support
1084,2,62,6,2.0,-0.64,9.1,9,Stable,2,3,0.97,3.26,0.571,58.85,Medium,0.64,"Low LMS activity, Negative sentiment, High stress",Monitor and provide academic support
1085,0,49,13,3.2,0.06,6.7,1,Stable,0,0,0.54,2.11,0.327,60.49,Medium,0.63,"Low attendance, Low LMS activity, Frequent assignment delays",Monitor and provide academic support
1086,6,48,5,4.0,-0.52,6.2,2,Stable,5,1,0.53,5.04,0.218,41.2,Medium,0.48,"Low attendance, Negative sentiment",Monitor and provide academic support
1087,0,77,1,3.5,0.51,7.2,7,Improving,5,4,0.26,4.01,0.108,41.44,Medium,0.37,Low LMS activity,Monitor and provide academic support
1088,2,79,1,3.8,-0.5,7.3,1,Stable,9,1,0.17,5.53,0.057,33.28,Low,0.38,"Low LMS activity, Negative sentiment",No immediate action required
1089,2,92,3,4.7,0.41,6.3,7,Stable,5,1,0.4,5.3,0.151,37.66,Low,0.47,Low LMS activity,No immediate action required
1090,5,44,7,1.7,-0.29,6.7,2,Stable,1,4,0.34,3.36,0.151,44.28,Medium,0.41,Low attendance,Monitor and provide academic support
1091,0,64,12,4.3,-0.78,5.9,3,Improving,2,1,0.1,3.18,0.058,58.02,Medium,0.54,"Low LMS activity, Frequent assignment delays, Negative sentiment",Monitor and provide academic support
1092,2,98,0,1.3,-0.04,7.4,8,Declining,4,0,0.66,4.6,0.257,38.91,Low,0.43,"Low LMS activity, High stress",No immediate action required
1093,5,47,8,5.5,0.68,8.0,9,Declining,9,0,0.18,5.81,0.075,41.48,Medium,0.43,"Low attendance, Frequent assignment delays, High stress",Monitor and provide academic support
1094,1,46,13,1.2,-0.41,7.4,8,Declining,6,4,0.47,3.12,0.31,65.89,Medium,0.73,"Low attendance, Low LMS activity, Frequent assignment delays, Negative sentiment, High stress",Monitor and provide academic support
1095,6,74,1,3.4,0.67,8.4,8,Stable,1,2,0.7,4.9,0.222,31.69,Low,0.28,High stress,No immediate action required
1096,6,62,11,3.6,0.09,8.6,6,Stable,1,0,0.89,4.58,0.418,47.01,Medium,0.49,Frequent assignment delays,Monitor and provide academic support
1097,5,41,6,3.0,-0.22,4.7,3,Improving,3,4,0.77,3.93,0.387,50.26,Medium,0.48,Low attendance,Monitor and provide academic support
1098,4,83,8,3.7,-0.34,4.2,9,Stable,3,4,0.73,5.03,0.377,51.6,Medium,0.42,"Frequent assignment delays, Negative sentiment, High stress",Monitor and provide academic support
1099,4,53,7,2.1,-0.5,5.3,9,Stable,4,0,0.11,4.01,0.056,51.12,Medium,0.49,"Low attendance, Negative sentiment, High stress",Monitor and provide academic support
1100,3,51,10,5.7,0.49,6.2,8,Stable,1,0,0.74,3.77,0.417,56.35,Medium,0.48,"Low attendance, Frequent assignment delays, High stress",Monitor and provide academic support
1101,7,59,12,4.1,0.14,10.2,2,Stable,8,0,0.96,6.29,0.38,39.61,Low,0.46,"Low attendance, Frequent assignment delays",No immediate action required
1102,4,44,5,5.8,0.71,5.6,1,Improving,2,4,0.22,4.08,0.083,37.6,Low,0.38,Low attendance,No immediate action required
1103,0,43,13,5.2,-1.12,5.2,9,Improving,1,3,0.04,2.53,0.029,71.67,High,0.68,"Low attendance, Low LMS activity, Frequent assignment delays, Negative sentiment, High stress",Immediate mentor intervention required
1104,0,44,10,1.0,-0.87,4.6,8,Stable,9,1,0.08,3.32,0.053,66.43,Medium,0.61,"Low attendance, Low LMS activity, Frequent assignment delays, Negative sentiment, High stress",Monitor and provide academic support
1105,4,67,4,6.0,0.45,6.6,3,Stable,1,2,0.86,4.61,0.345,40.17,Medium,0.45,Normal behaviour,Monitor and provide academic support
1106,7,58,7,1.8,-0.13,6.1,9,Declining,3,2,0.75,4.8,0.35,46.65,Medium,0.4,"Low attendance, High stress",Monitor and provide academic support
1107,2,84,9,3.1,-0.27,7.5,7,Improving,3,1,0.83,4.34,0.438,52.72,Medium,0.53,"Low LMS activity, Frequent assignment delays",Monitor and provide academic support
1108,6,41,12,3.9,0.01,6.6,2,Stable,7,4,0.78,5.21,0.381,48.88,Medium,0.41,"Low attendance, Frequent assignment delays",Monitor and provide academic support
1109,5,46,9,2.9,-0.18,8.2,5,Improving,3,3,0.69,4.06,0.342,49.63,Medium,0.41,"Low attendance, Frequent assignment delays",Monitor and provide academic support
1110,2,56,11,0.9,-0.9,7.9,8,Improving,1,4,0.45,2.66,0.279,61.95,Medium,0.65,"Low attendance, Low LMS activity, Frequent assignment delays, Negative sentiment, High stress",Monitor and provide academic support
1111,3,51,6,0.9,-0.22,8.2,3,Stable,6,1,0.16,3.81,0.069,43.06,Medium,0.42,Low attendance,Monitor and provide academic support
1112,3,56,2,3.0,0.22,5.7,4,Declining,3,2,0.27,3.78,0.109,40.49,Medium,0.5,Low attendance,Monitor and provide academic support
1113,3,95,11,4.5,-0.92,5.6,6,Stable,2,0,0.65,5.05,0.338,52.02,Medium,0.49,"Frequent assignment delays, Negative sentiment",Monitor and provide academic support
1114,6,83,10,5.8,0.13,6.2,5,Improving,1,3,0.02,5.65,0.007,33.24,Low,0.39,Frequent assignment delays,No immediate action required
1115,3,92,7,5.6,0.62,7.2,9,Improving,6,0,0.61,5.98,0.25,40.99,Medium,0.36,High stress,Monitor and provide academic support
1116,0,77,8,1.4,-0.66,8.2,2,Declining,0,4,0.07,2.59,0.033,47.81,Medium,0.46,"Low LMS activity, Frequent assignment delays, Negative sentiment",Monitor and provide academic support
1117,5,86,14,4.5,0.61,7.6,6,Declining,5,2,0.1,5.98,0.036,36.46,Low,0.31,Frequent assignment delays,No immediate action required
1118,0,85,14,3.2,0.75,7.8,8,Improving,0,1,0.53,3.19,0.294,55.56,Medium,0.63,"Low LMS activity, Frequent assignment delays, High stress",Monitor and provide academic support
1119,5,72,12,0.9,-0.5,6.1,7,Stable,9,1,0.82,5.64,0.433,52.85,Medium,0.44,"Frequent assignment delays, Negative sentiment",Monitor and provide academic support
1120,3,88,7,4.0,0.91,7.0,8,Declining,3,2,0.48,4.94,0.189,39.28,Low,0.42,High stress,No immediate action required
1121,7,43,5,5.0,1.04,5.5,9,Improving,1,3,0.25,4.59,0.094,37.61,Low,0.31,"Low attendance, High stress",No immediate action required
1122,4,90,9,2.3,0.84,6.2,7,Stable,2,3,0.56,4.76,0.223,39.87,Low,0.44,Frequent assignment delays,No immediate action required
1123,5,76,7,5.9,-0.56,7.3,3,Stable,5,0,0.84,5.96,0.353,42.03,Medium,0.36,Negative sentiment,Monitor and provide academic support
1124,4,70,9,4.6,-0.93,5.1,4,Stable,1,0,0.51,4.42,0.258,50.66,Medium,0.52,"Frequent assignment delays, Negative sentiment",Monitor and provide academic support
1125,1,92,1,3.2,-0.82,5.6,3,Stable,2,4,0.47,4.1,0.2,42.56,Medium,0.49,"Low LMS activity, Negative sentiment",Monitor and provide academic support
1126,0,74,9,4.4,0.16,6.1,9,Stable,7,0,0.66,4.5,0.385,58.4,Medium,0.5,"Low LMS activity, Frequent assignment delays, High stress",Monitor and provide academic support
1127,0,98,8,5.8,0.4,4.6,1,Declining,7,3,0.97,5.5,0.456,47.0,Medium,0.46,"Low LMS activity, Frequent assignment delays",Monitor and provide academic support
1128,2,49,2,2.9,-0.3,3.6,9,Stable,3,2,0.95,3.25,0.58,61.06,Medium,0.56,"Low attendance, Low LMS activity, High stress",Monitor and provide academic support
1129,5,59,11,0.7,0.42,8.3,5,Declining,7,3,0.45,4.81,0.193,42.78,Medium,0.5,"Low attendance, Frequent assignment delays",Monitor and provide academic support
1130,5,83,10,1.1,-0.04,6.4,5,Declining,0,2,0.45,4.21,0.188,41.78,Medium,0.5,Frequent assignment delays,Monitor and provide academic support
1131,4,72,0,3.7,-0.44,8.9,2,Declining,1,0,0.64,4.3,0.22,34.43,Low,0.42,Negative sentiment,No immediate action required
1132,6,95,14,3.4,0.21,3.4,7,Improving,3,1,0.2,5.93,0.082,40.76,Medium,0.44,Frequent assignment delays,Monitor and provide academic support
1133,1,60,0,4.5,-0.23,5.6,6,Stable,0,1,0.37,3.0,0.178,48.11,Medium,0.38,Low LMS activity,Monitor and provide academic support
1134,1,56,9,5.3,-0.22,6.6,8,Declining,3,0,0.6,3.64,0.363,60.52,Medium,0.69,"Low attendance, Low LMS activity, Frequent assignment delays, High stress",Monitor and provide academic support
1135,5,92,4,3.7,-0.5,5.8,6,Stable,0,0,0.99,5.0,0.421,42.49,Medium,0.48,Negative sentiment,Monitor and provide academic support
1136,4,52,14,4.6,-0.12,7.9,4,Stable,5,1,0.76,4.68,0.415,54.65,Medium,0.61,"Low attendance, Frequent assignment delays",Monitor and provide academic support
1137,2,84,10,2.6,0.49,4.5,5,Stable,9,4,0.38,5.44,0.172,45.32,Medium,0.46,"Low LMS activity, Frequent assignment delays",Monitor and provide academic support
1138,0,88,0,2.9,0.02,6.2,8,Stable,9,1,0.46,5.02,0.201,43.68,Medium,0.41,"Low LMS activity, High stress",Monitor and provide academic support
1139,1,47,1,3.1,-0.69,4.0,5,Stable,3,2,0.76,2.93,0.445,58.58,Medium,0.65,"Low attendance, Low LMS activity, Negative sentiment",Monitor and provide academic support
1140,1,83,10,3.4,-0.14,8.4,5,Declining,8,3,0.93,5.07,0.491,52.79,Medium,0.44,"Low LMS activity, Frequent assignment delays",Monitor and provide academic support
1141,4,52,5,1.6,0.2,4.8,5,Stable,2,1,0.61,3.48,0.292,47.85,Medium,0.52,Low attendance,Monitor and provide academic support
1142,0,52,3,5.0,-0.53,6.6,7,Stable,6,0,0.57,3.76,0.328,57.59,Medium,0.53,"Low attendance, Low LMS activity, Negative sentiment",Monitor and provide academic support
1143,3,59,3,1.0,-0.23,8.2,7,Stable,4,3,0.23,3.67,0.1,43.35,Medium,0.38,Low attendance,Monitor and provide academic support
1144,1,63,9,2.5,0.09,6.9,1,Stable,4,3,0.27,3.49,0.127,47.12,Medium,0.54,"Low LMS activity, Frequent assignment delays",Monitor and provide academic support
1145,3,78,9,5.0,-0.28,7.1,7,Stable,0,2,0.87,4.24,0.459,52.73,Medium,0.52,Frequent assignment delays,Monitor and provide academic support
1146,4,56,5,0.6,0.61,8.9,9,Stable,8,0,0.99,4.6,0.471,47.58,Medium,0.4,"Low attendance, High stress",Monitor and provide academic support
1147,4,57,2,2.9,0.85,5.9,7,Stable,2,3,0.72,3.89,0.304,42.19,Medium,0.44,Low attendance,Monitor and provide academic support
1148,6,84,13,2.0,0.57,9.1,9,Stable,5,0,0.62,5.72,0.253,40.87,Medium,0.4,"Frequent assignment delays, High stress",Monitor and provide academic support
1149,3,41,11,4.9,0.12,4.2,6,Stable,2,3,0.32,3.51,0.183,57.26,Medium,0.54,"Low attendance, Frequent assignment delays",Monitor and provide academic support
1150,5,41,6,2.6,-0.98,5.6,6,Stable,3,4,0.18,3.85,0.091,50.34,Medium,0.54,"Low attendance, Negative sentiment",Monitor and provide academic support
1151,0,94,9,1.0,0.79,6.0,1,Stable,7,3,0.47,4.42,0.195,41.53,Medium,0.39,"Low LMS activity, Frequent assignment delays",Monitor and provide academic support
1152,6,67,2,1.3,0.61,6.7,5,Improving,5,1,0.79,5.07,0.267,33.82,Low,0.41,Normal behaviour,No immediate action required
1153,4,55,11,4.8,-0.54,5.2,2,Stable,1,2,0.24,4.01,0.118,49.32,Medium,0.5,"Low attendance, Frequent assignment delays, Negative sentiment",Monitor and provide academic support
1154,2,91,13,3.0,0.19,10.2,3,Declining,5,3,0.85,4.93,0.39,45.93,Medium,0.4,"Low LMS activity, Frequent assignment delays",Monitor and provide academic support
1155,6,88,9,3.5,0.74,8.1,6,Improving,6,3,0.82,6.34,0.284,34.6,Low,0.31,Frequent assignment delays,No immediate action required
1156,2,41,10,4.3,0.01,6.5,9,Stable,5,0,0.92,3.69,0.602,65.47,Medium,0.65,"Low attendance, Low LMS activity, Frequent assignment delays, High stress",Monitor and provide academic support
1157,5,55,5,5.1,0.14,6.3,6,Improving,4,1,0.07,4.97,0.027,38.02,Low,0.29,Low attendance,No immediate action required
1158,0,54,3,0.9,-0.21,7.0,4,Stable,5,4,0.02,2.8,0.01,47.65,Medium,0.5,"Low attendance, Low LMS activity",Monitor and provide academic support
1159,6,58,14,0.8,-0.11,8.7,2,Stable,1,4,0.62,3.9,0.283,45.69,Medium,0.42,"Low attendance, Frequent assignment delays",Monitor and provide academic support
1160,6,58,8,1.3,-0.18,5.4,3,Improving,0,3,0.63,3.8,0.281,44.54,Medium,0.39,"Low attendance, Frequent assignment delays",Monitor and provide academic support
1161,4,78,11,2.2,0.25,9.9,7,Declining,4,3,0.4,4.78,0.168,41.9,Medium,0.45,Frequent assignment delays,Monitor and provide academic support
1162,2,46,10,2.8,0.27,7.6,6,Declining,6,1,0.13,3.74,0.066,51.12,Medium,0.49,"Low attendance, Low LMS activity, Frequent assignment delays",Monitor and provide academic support
1163,5,54,4,4.7,0.05,4.8,1,Stable,9,1,0.63,5.86,0.245,38.88,Low,0.33,Low attendance,No immediate action required
1164,4,84,3,2.5,0.41,4.5,5,Declining,6,4,0.49,5.42,0.174,35.56,Low,0.29,Normal behaviour,No immediate action required
1165,3,87,11,4.1,0.22,8.3,6,Stable,9,4,0.13,6.13,0.051,38.94,Low,0.31,Frequent assignment delays,No immediate action required
1166,7,48,8,4.3,-0.8,5.9,2,Improving,7,4,0.83,5.8,0.382,46.0,Medium,0.46,"Low attendance, Frequent assignment delays, Negative sentiment",Monitor and provide academic support
1167,7,98,5,4.0,-0.32,6.8,8,Declining,4,3,0.51,6.64,0.161,31.66,Low,0.35,"Negative sentiment, High stress",No immediate action required
1168,4,47,8,4.6,0.55,7.4,3,Improving,4,3,0.74,4.33,0.34,45.95,Medium,0.43,"Low attendance, Frequent assignment delays",Monitor and provide academic support
1169,5,75,10,5.8,-0.54,3.8,5,Stable,7,1,0.02,6.31,0.008,42.08,Medium,0.34,"Frequent assignment delays, Negative sentiment",Monitor and provide academic support
